,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
246,588017722260324515,199.53377018,42.49635801,1.2767539999999986,1.9871750000000006,3.6082479999999997,1.621072999999999,0.8661839999999987,0.4200852581665268,0.063828,1.0,NGC5033,17.6,0.875463,New Contaminant,495.29321195790845,-15.372603339070748,18.708319,16.721144,15.44439,15.85496,15.100071,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017722260324515
247,587729158434848919,206.78268761,4.13219567,1.1810149999999986,1.8278199999999991,3.2837180000000004,1.4558980000000012,0.7972140000000003,0.3950989026198983,0.045304,0.737243,NGC5297,38.1,0.920211,New Contaminant,239.24275664950125,-15.594426878378094,19.935232,18.107412,16.926397,17.310198,16.651514,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729158434848919
248,588010878234067081,207.11593944,3.80375231,1.1378660000000025,1.6307219999999987,3.0792900000000003,1.4485680000000016,0.774987000000003,0.416632321717039,0.055381,0.882696,NGC5297,38.1,0.918432,New Contaminant,602.8209205090642,-16.630754878378095,18.679579,17.048857,15.910991,16.27387,15.600289,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010878234067081
249,587739607562977391,209.39710911,29.01772131,1.2129939999999984,1.9066329999999994,3.4269089999999984,1.520275999999999,0.8156590000000001,0.3869427832944128,0.045025,0.876528,NGC5372,29.2,0.765334,New Contaminant,231.9830529362349,-16.084826257242096,18.96438,17.057747,15.844753,16.242088,15.537471,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739607562977391
250,587735665304994000,208.88862008,54.65958328,1.272139000000001,1.9433289999999985,3.5213079999999994,1.577979000000001,0.868469000000001,0.3243305873220017,0.063927,0.859903,NGC5448,34.8,0.88089,New Contaminant,562.4973188102257,-17.5526932197329,17.967001,16.023672,14.751533,15.155203,14.445693,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735665304994000
251,587735695913058351,209.8859664,54.63606712,1.1047740000000008,1.7735839999999996,3.1739890000000006,1.400405000000001,0.7621260000000003,0.3205825124138192,0.050241,1.0,NGC5448,34.8,0.779165,New Contaminant,275.8813441582987,-16.9129162197329,18.33069,16.557106,15.452332,15.79498,15.156701,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735695913058351
252,587733412592287899,210.30764952,53.45050641,1.1106510000000007,1.6447260000000021,3.0067130000000013,1.3619869999999992,0.7632139999999978,0.3672872853215267,0.054732,1.0,NGC5448,34.8,0.928168,New Contaminant,345.3786620033385,-16.1990922197329,18.916744,17.272018,16.161367,16.508804,15.910031,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587733412592287899
253,587735696987390072,212.57197984,54.85366589,1.2659389999999995,1.9869939999999993,3.5734059999999985,1.5864119999999993,0.8450750000000014,0.3380934565135133,0.054746,1.0,NGC5448,34.8,0.923046,New Contaminant,261.3819632197141,-16.528025219732903,19.01194,17.024946,15.759007,16.179871,15.438534,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735696987390072
254,587739829274869842,213.8561387,25.55831249,1.2129340000000006,1.831782999999998,3.324057999999999,1.4922750000000011,0.8271290000000011,0.3186714868423229,0.057797,1.0,NGC5520,31.2,0.873568,New Contaminant,422.8266876294984,-16.63024597009221,18.499439,16.667656,15.454722,15.840527,15.175381,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739829274869842
255,587736540945645677,217.73490652,7.38086284,1.2365739999999974,1.8490160000000024,3.381361000000002,1.5323449999999994,0.8316519999999983,0.4042515335344155,0.047924,0.772212,NGC5633,37.2,0.77666,New Contaminant,733.851365867106,-16.04493569940949,19.488447,17.639431,16.402857,16.807779,16.107086,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587736540945645677
256,587730023864402124,217.49478095,7.27965556,1.2430479999999982,1.894514000000001,3.451721000000001,1.557207,0.8434160000000013,0.367061226817812,0.049081,0.947462,NGC5633,37.2,0.686101,New Contaminant,560.4337220240028,-16.30301069940949,19.287634,17.39312,16.150072,16.549704,15.835913,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587730023864402124
257,587730023864402140,217.51223136,7.32166922,1.2185629999999996,1.882555,3.388946999999998,1.5063919999999982,0.824185,0.4055393451720199,0.049422,0.932006,NGC5633,37.2,0.656131,New Contaminant,496.9012445289689,-15.55628269940949,20.003172,18.120617,16.902054,17.296432,16.614225,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587730023864402140
258,587730023864598724,218.01217757,7.33176281,1.1703299999999999,1.7909040000000012,3.2317680000000024,1.4408640000000013,0.7648150000000005,0.3379399171592671,0.054936,0.931295,NGC5633,37.2,0.92009,New Contaminant,632.7998340335262,-17.08663869940949,18.321795,16.530891,15.360561,15.766076,15.090027,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587730023864598724
259,588011123584139383,218.09561093,57.97866654,1.2091399999999979,1.7873040000000024,3.2826710000000006,1.4953669999999981,0.8287239999999976,0.3951099962803815,0.061681,0.679124,NGC5676,34.4,0.962376,New Contaminant,284.4621880910659,-15.579931212857648,19.718889,17.931585,16.722445,17.102861,16.436218,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588011123584139383
260,587730022259425339,230.28314268,5.05812503,1.2264859999999995,1.7927110000000024,3.3339740000000013,1.541262999999999,0.8274549999999987,0.2974099593656999,0.050926,1.0,NGC5913,30.2,0.96325,New Contaminant,509.1805456825404,-17.260480714785754,17.75972,15.967009,14.740523,15.139554,14.425746,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587730022259425339
261,587736545776566655,230.46388692,4.72364762,1.175365000000001,1.729106999999999,3.209720000000001,1.4806130000000017,0.8051220000000008,0.3669085932195346,0.052325,0.697222,NGC5913,30.2,0.656578,New Contaminant,496.30347732209066,-16.055582714785753,18.878681,17.149574,15.974209,16.344452,15.668961,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587736545776566655
262,587741723356758152,184.9362003,28.6146012,1.1524140000000003,1.7173590000000019,3.171761000000002,1.454402,0.7767029999999977,0.3844281976493812,0.048092,0.850096,PGC026857,40.6,0.711499,New Contaminant,239.38686960039308,-16.493718167885966,19.042974,17.325615,16.173201,16.548912,15.871213,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741723356758152
263,587731500795429094,151.35647719,53.16604109,1.1906580000000009,1.853743999999999,3.3234790000000007,1.4697350000000018,0.7969430000000006,0.3343474669501722,0.043005,0.80507,UGC05403,31.7,0.859019,New Contaminant,585.074433020979,-17.148514311088753,18.007469,16.153725,14.963067,15.356782,14.68399,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731500795429094
264,587731500795560070,151.76545729,53.39985233,1.1190019999999983,1.7428240000000024,3.129990000000001,1.3871659999999988,0.7581179999999996,0.3249466726452425,0.042348,1.0,UGC05403,31.7,0.772673,New Contaminant,428.2727582434753,-16.287349311088757,18.718889,16.976065,15.857063,16.217947,15.588899,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731500795560070
265,588017604691493043,207.44412851,42.60184673,1.2336409999999987,1.902857000000001,3.4421789999999994,1.5393219999999985,0.8467329999999968,0.3439814523239702,0.060169,0.993986,UGC08693,38.2,0.865347,New Contaminant,578.0642728230896,-16.58690081455854,19.073006,17.170149,15.936508,16.323416,15.630827,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017604691493043
